device,tau,experiment,stratification,kernel,counter,label,native_counter,n,spearman_rho,undefined_reason
H100,l1_to_l2,1,all,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6337922363757268,
H100,l1_to_l2,1,all,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9370800047455367,
H100,l1_to_l2,1,all,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9325293793054694,
H100,l1_to_l2,1,all,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.8819623623109913,
H100,l1_to_l2,1,issue,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6967029079449119,
H100,l1_to_l2,1,issue,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.687271001935,
H100,l1_to_l2,1,issue,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.014863212513042063,
H100,l1_to_l2,1,issue,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6711911434363294,
H100,l1_to_l2,1,issue,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.6791660899528947,
H100,l1_to_l2,1,issue,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.09270647622758071,
H100,l1_to_l2,1,issue,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.7112230101257706,
H100,l1_to_l2,1,issue,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.22121260080063126,
H100,l1_to_l2,1,issue,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.39386996503338195,
H100,l1_to_l2,1,issue,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9683774470171622,
H100,l1_to_l2,1,issue,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8155731135318953,
H100,l1_to_l2,1,issue,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6334549603075049,
H100,l1_to_l2,1,issue,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.938542699442147,
H100,l1_to_l2,1,issue,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8900945412655362,
H100,l1_to_l2,1,issue,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6598735557205784,
H100,l1_to_l2,1,issue,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9593482828813109,
H100,l1_to_l2,1,issue,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9248811134964717,
H100,l1_to_l2,1,issue,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.8568710231283009,
H100,l1_to_l2,1,temporal,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.4762622260014396,
H100,l1_to_l2,1,temporal,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.8215137758675808,
H100,l1_to_l2,1,temporal,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.10634244876848994,
